위도,경도,num_of_company(near 3km),num_of_large(near 1km),num_of_bus_stop(near 500m),num_of_hospital(near 1km),num_of_theather(near 1km),num_of_camp(near 3km),num_of_school(near 500m),nearest_subway_name,nearest_subway_distance,num_of_subway(near 500m),num_of_gvn_office(near 500m),parks_within_500m,parking_lots_within_500m,university_within_0m_500m,university_within_500m_1000m,university_within_1000m_1500m,university_within_1500m_2000m
35.809981,128.758223,107,0,18,2,0,1,3,영남대,2954.9824721540526,0,1,2,0,0,0,1,0
35.809669,128.758802,100,0,16,2,0,1,3,영남대,2998.507587594483,0,1,2,0,0,0,1,0
35.800422,128.77122,78,0,9,1,0,1,0,영남대,4314.5230452043015,0,0,0,0,0,1,0,0
35.807982,128.750175,123,0,7,1,0,1,1,임당,3006.435045196982,0,1,1,0,0,1,0,0
35.809681,128.759771,107,0,13,2,0,1,3,영남대,3014.949623492332,0,0,2,0,0,0,0,1
35.807217,128.752815,118,0,10,1,0,1,2,임당,3161.3068905064074,0,1,1,0,0,1,0,0
35.810336,128.760399,112,0,11,2,0,1,3,영남대,2957.1483990358115,0,0,2,0,0,0,0,1
35.810804,128.759084,116,0,20,2,0,1,3,영남대,2880.052233998722,0,1,3,0,0,0,0,1
35.799187,128.773668,74,0,10,1,0,1,0,영남대,4529.665102215327,0,1,0,0,1,0,0,0
35.811584,128.759293,118,0,19,2,0,1,3,영남대,2799.458790488311,0,0,2,0,0,0,0,1
35.811084,128.754442,113,0,16,0,0,1,2,영남대,2792.960129960579,0,1,2,0,0,0,1,0
35.810915,128.75425,115,0,16,0,0,1,2,영남대,2810.67106472041,0,1,2,0,0,0,1,0
35.812191,128.754738,113,0,18,0,0,1,2,영남대,2672.2268005486662,0,1,2,0,0,0,1,0
35.811084,128.754442,113,0,16,0,0,1,2,영남대,2792.960129960579,0,1,2,0,0,0,1,0
35.811434,128.75479,113,0,16,0,0,1,3,영남대,2756.3377280648806,0,1,2,0,0,0,1,0
35.81197,128.758225,121,0,21,2,0,1,2,영남대,2737.9473211904387,0,2,4,0,0,0,0,1
35.812002,128.759548,122,0,20,2,0,1,2,영남대,2759.406088249735,0,1,2,0,0,0,0,1
35.810336,128.760399,112,0,11,2,0,1,3,영남대,2957.1483990358115,0,0,2,0,0,0,0,1
35.811905,128.758356,121,0,21,2,0,1,2,영남대,2747.270533351574,0,2,4,0,0,0,0,1
35.811175,128.759993,120,0,15,2,0,1,3,영남대,2858.001652128972,0,0,2,0,0,0,0,1
35.809669,128.758802,100,0,16,2,0,1,3,영남대,2998.507587594483,0,1,2,0,0,0,1,0
35.812297,128.755578,113,0,21,2,0,1,1,영남대,2667.2305367347667,0,1,2,0,0,0,1,0
35.811084,128.754442,113,0,16,0,0,1,2,영남대,2792.960129960579,0,1,2,0,0,0,1,0
35.810024,128.759127,104,0,14,2,0,1,3,영남대,2965.586318422075,0,1,2,0,0,0,0,1
35.812297,128.755578,113,0,21,2,0,1,1,영남대,2667.2305367347667,0,1,2,0,0,0,1,0
35.809669,128.758802,100,0,16,2,0,1,3,영남대,2998.507587594483,0,1,2,0,0,0,1,0
35.802147,128.768454,107,0,10,1,0,1,0,영남대,4043.566620607193,0,0,0,0,0,0,1,0
35.810804,128.759084,116,0,20,2,0,1,3,영남대,2880.052233998722,0,1,3,0,0,0,0,1
35.810159,128.760296,110,0,12,2,0,1,3,영남대,2974.0109178519706,0,0,2,0,0,0,0,1
35.807139,128.753219,116,0,11,0,0,1,2,임당,3182.0585069263147,0,1,1,0,0,1,0,0
35.805865,128.760118,92,0,8,1,0,1,1,영남대,3435.640851091096,0,0,1,0,0,0,1,1
35.811084,128.754442,113,0,16,0,0,1,2,영남대,2792.960129960579,0,1,2,0,0,0,1,0
35.811584,128.759293,118,0,19,2,0,1,3,영남대,2799.458790488311,0,0,2,0,0,0,0,1
35.809681,128.759771,107,0,13,2,0,1,3,영남대,3014.949623492332,0,0,2,0,0,0,0,1
35.811434,128.75479,113,0,16,0,0,1,3,영남대,2756.3377280648806,0,1,2,0,0,0,1,0
35.810414,128.759663,111,0,16,2,0,1,3,영남대,2933.44687742558,0,0,3,0,0,0,0,1
35.811391,128.759521,119,0,18,2,0,1,3,영남대,2824.889977096295,0,0,2,0,0,0,0,1
35.810024,128.759127,104,0,14,2,0,1,3,영남대,2965.586318422075,0,1,2,0,0,0,0,1
35.807217,128.752815,118,0,10,1,0,1,2,임당,3161.3068905064074,0,1,1,0,0,1,0,0
35.806825,128.761787,93,0,9,3,0,1,1,영남대,3365.5539908946103,0,0,1,0,0,0,0,2
35.812107,128.760218,127,0,15,2,0,1,2,영남대,2762.641015641909,0,1,2,0,0,0,0,1
35.800422,128.77122,78,0,9,1,0,1,0,영남대,4314.5230452043015,0,0,0,0,0,1,0,0
35.802366,128.776206,107,0,11,0,0,1,0,영남대,4321.183127858328,0,0,0,0,0,1,0,0
35.812002,128.759548,122,0,20,2,0,1,2,영남대,2759.406088249735,0,1,2,0,0,0,0,1
35.811715,128.75428,113,0,16,0,0,1,1,영남대,2722.199639204824,0,1,2,0,0,0,1,0
35.80345,128.764021,89,0,2,1,0,1,0,영남대,3779.815895730111,0,0,0,0,0,0,1,1
35.811715,128.75428,113,0,16,0,0,1,1,영남대,2722.199639204824,0,1,2,0,0,0,1,0
35.811084,128.754442,113,0,16,0,0,1,2,영남대,2792.960129960579,0,1,2,0,0,0,1,0
35.807982,128.750175,123,0,7,1,0,1,1,임당,3006.435045196982,0,1,1,0,0,1,0,0
35.807217,128.752815,118,0,10,1,0,1,2,임당,3161.3068905064074,0,1,1,0,0,1,0,0
35.807217,128.752815,118,0,10,1,0,1,2,임당,3161.3068905064074,0,1,1,0,0,1,0,0
35.811175,128.759993,120,0,15,2,0,1,3,영남대,2858.001652128972,0,0,2,0,0,0,0,1
35.811084,128.754442,113,0,16,0,0,1,2,영남대,2792.960129960579,0,1,2,0,0,0,1,0
35.811421,128.759199,118,0,18,2,0,1,3,영남대,2815.2861039603777,0,1,2,0,0,0,0,1
35.810159,128.760296,110,0,12,2,0,1,3,영남대,2974.0109178519706,0,0,2,0,0,0,0,1
35.811106,128.753645,115,0,16,0,0,1,2,영남대,2787.0227784913623,0,1,2,0,0,0,1,0
35.812002,128.759548,122,0,20,2,0,1,2,영남대,2759.406088249735,0,1,2,0,0,0,0,1
35.811535,128.754091,113,0,16,0,0,1,1,영남대,2741.214266769672,0,1,2,0,0,0,1,0
35.805277,128.755568,100,0,10,1,0,1,1,영남대,3442.8707791559154,0,0,1,0,0,0,1,0
35.811391,128.759521,119,0,18,2,0,1,3,영남대,2824.889977096295,0,0,2,0,0,0,0,1
35.81075,128.754072,115,0,16,0,0,1,2,영남대,2828.1200442269533,0,1,2,0,0,0,1,0
35.806951,128.752377,118,0,8,1,0,1,2,임당,3175.889816255641,0,1,1,0,0,1,0,0
35.801512,128.770527,82,0,9,1,0,1,0,영남대,4178.729127898373,0,0,0,0,0,1,0,0
35.810159,128.760296,110,0,12,2,0,1,3,영남대,2974.0109178519706,0,0,2,0,0,0,0,1
35.811106,128.753645,115,0,16,0,0,1,2,영남대,2787.0227784913623,0,1,2,0,0,0,1,0
35.809669,128.758802,100,0,16,2,0,1,3,영남대,2998.507587594483,0,1,2,0,0,0,1,0
35.807139,128.753219,116,0,11,0,0,1,2,임당,3182.0585069263147,0,1,1,0,0,1,0,0
35.810159,128.760296,110,0,12,2,0,1,3,영남대,2974.0109178519706,0,0,2,0,0,0,0,1
35.810336,128.760399,112,0,11,2,0,1,3,영남대,2957.1483990358115,0,0,2,0,0,0,0,1
35.805277,128.755568,100,0,10,1,0,1,1,영남대,3442.8707791559154,0,0,1,0,0,0,1,0
35.811434,128.75479,113,0,16,0,0,1,3,영남대,2756.3377280648806,0,1,2,0,0,0,1,0
35.810804,128.759084,116,0,20,2,0,1,3,영남대,2880.052233998722,0,1,3,0,0,0,0,1
35.811084,128.754442,113,0,16,0,0,1,2,영남대,2792.960129960579,0,1,2,0,0,0,1,0
35.810728,128.75653,106,0,18,2,0,1,2,영남대,2850.045704777581,0,1,3,0,0,0,1,0
35.809981,128.758223,107,0,18,2,0,1,3,영남대,2954.9824721540526,0,1,2,0,0,0,1,0
35.809669,128.758802,100,0,16,2,0,1,3,영남대,2998.507587594483,0,1,2,0,0,0,1,0
35.809981,128.758223,107,0,18,2,0,1,3,영남대,2954.9824721540526,0,1,2,0,0,0,1,0
35.809741,128.758337,107,0,16,2,0,1,2,영남대,2983.0015431434394,0,1,2,0,0,0,1,0
35.806825,128.761787,93,0,9,3,0,1,1,영남대,3365.5539908946103,0,0,1,0,0,0,0,2
35.807139,128.753219,116,0,11,0,0,1,2,임당,3182.0585069263147,0,1,1,0,0,1,0,0
35.811715,128.75428,113,0,16,0,0,1,1,영남대,2722.199639204824,0,1,2,0,0,0,1,0
35.806951,128.752377,118,0,8,1,0,1,2,임당,3175.889816255641,0,1,1,0,0,1,0,0
35.811434,128.75479,113,0,16,0,0,1,3,영남대,2756.3377280648806,0,1,2,0,0,0,1,0
35.810159,128.760296,110,0,12,2,0,1,3,영남대,2974.0109178519706,0,0,2,0,0,0,0,1
35.810847,128.752458,118,0,14,1,0,1,1,임당,2773.7798438593736,0,1,2,0,0,0,1,0
35.809741,128.758337,107,0,16,2,0,1,2,영남대,2983.0015431434394,0,1,2,0,0,0,1,0
35.811434,128.75479,113,0,16,0,0,1,3,영남대,2756.3377280648806,0,1,2,0,0,0,1,0
35.809681,128.759771,107,0,13,2,0,1,3,영남대,3014.949623492332,0,0,2,0,0,0,0,1
35.811084,128.754442,113,0,16,0,0,1,2,영남대,2792.960129960579,0,1,2,0,0,0,1,0
35.810847,128.752458,118,0,14,1,0,1,1,임당,2773.7798438593736,0,1,2,0,0,0,1,0
35.811084,128.754442,113,0,16,0,0,1,2,영남대,2792.960129960579,0,1,2,0,0,0,1,0
35.810915,128.75425,115,0,16,0,0,1,2,영남대,2810.67106472041,0,1,2,0,0,0,1,0
35.806825,128.761787,93,0,9,3,0,1,1,영남대,3365.5539908946103,0,0,1,0,0,0,0,2
35.811266,128.75462,113,0,16,0,0,1,2,영남대,2773.846374440862,0,1,2,0,0,0,1,0
35.810915,128.75425,115,0,16,0,0,1,2,영남대,2810.67106472041,0,1,2,0,0,0,1,0
35.811084,128.754442,113,0,16,0,0,1,2,영남대,2792.960129960579,0,1,2,0,0,0,1,0
35.81075,128.754072,115,0,16,0,0,1,2,영남대,2828.1200442269533,0,1,2,0,0,0,1,0
35.811535,128.754091,113,0,16,0,0,1,1,영남대,2741.214266769672,0,1,2,0,0,0,1,0
35.806951,128.752377,118,0,8,1,0,1,2,임당,3175.889816255641,0,1,1,0,0,1,0,0
35.809669,128.758802,100,0,16,2,0,1,3,영남대,2998.507587594483,0,1,2,0,0,0,1,0
35.811535,128.754091,113,0,16,0,0,1,1,영남대,2741.214266769672,0,1,2,0,0,0,1,0
35.807217,128.752815,118,0,10,1,0,1,2,임당,3161.3068905064074,0,1,1,0,0,1,0,0
