매출등급,대분류업종,대분류업종코드,도로명주소,위도,경도,num_of_company(near 3km),num_of_large(near 1km),num_of_bus_stop(near 500m),num_of_hospital(near 1km),num_of_theather(near 1km),num_of_camp(near 3km),num_of_school(near 500m),nearest_subway_name,nearest_subway_distance,num_of_subway(near 500m),num_of_gvn_office(near 500m),parks_within_500m,parking_lots_within_500m,university_within_0m_500m,university_within_500m_1000m,university_within_1000m_1500m,university_within_1500m_2000m
10,소매업,6,경산시 한장군로 395,35.8272135,128.8145226,402,0,5,0,0,0,0,영남대,5653.879774442457,0,0,0,0,0,0,1,0
5,제조업,5,경산시 일연로 387,35.8439479,128.8059738,714,0,2,0,0,0,0,영남대,4863.035275918773,0,0,0,0,0,0,0,1
4,음식점,1,경산시 대학로298길 18,35.9118393,128.8251,217,1,6,0,5,0,1,영남대,10611.368593317804,0,2,0,0,0,0,0,0
4,기타,0,경산시 성암로12길 33,35.8208272,128.7246885,126,1,19,3,0,1,1,정평,1191.1358989002968,0,1,1,3,0,0,0,0
6,소매업,6,경산시 중앙로16길 22,35.8213083,128.7358549,131,2,10,10,0,1,1,정평,330.470922609845,1,3,0,8,0,0,0,0
4,제조업,5,경산시 어봉지길 285-10,35.7868538,128.7885736,110,0,2,0,0,0,0,정평,6209.099671919461,0,0,0,0,0,0,1,0
10,제조업,5,경산시 가일길 72-17,35.8390563,128.7808121,461,0,4,0,0,0,0,영남대,2534.083235109633,0,0,0,0,0,0,0,0
4,기타,0,경산시 대학로 1059,35.8760296,128.8116683,589,0,6,1,0,0,3,영남대,6892.39544597423,0,1,1,0,0,0,0,0
8,도매업,7,경산시 원효로 170,35.8199679,128.7549931,179,0,15,1,0,1,0,정평,1665.6371233664345,0,0,0,0,0,0,0,0
10,기타,0,경산시 삼풍로 27,35.8267946,128.755794,298,0,0,1,0,1,0,영남대,1090.4539847837202,0,0,0,0,0,0,0,0
8,제조업,5,경산시 공단4로40길 27,35.8750762,128.8317246,617,0,4,0,0,0,0,영남대,8311.477205796366,0,0,0,0,0,0,0,0
4,음식점,1,경산시 원효로36길 22,35.8180793,128.7548813,151,0,25,1,0,1,0,정평,1725.1850463766543,0,2,0,0,0,0,0,1
4,제조업,5,경산시 송내공단길 71-5,35.7898461,128.8277378,184,0,4,0,0,0,1,영남대,8502.446242042968,0,0,0,0,0,0,0,0
