건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,총점
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,20
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,44
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,97
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,41
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,,,126.9007767,37.45189359,56
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,31
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,3,,126.9007767,37.45189359,24
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,55
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,15
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,68
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,,,126.9007767,37.45189359,81
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,75
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,3,,126.9007767,37.45189359,92
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,2,,126.9007767,37.45189359,40
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,90
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,2,,126.9007767,37.45189359,89
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,61
201,,1.15451E+24,삼성홈플러스,서울특별시 금천구 시흥대로 201,153864,8632,,1,,126.9007767,37.45189359,37
45,,1.15451E+24,학교법인동일학원교사,서울특별시 금천구 탑골로10길 45,153032,8656,,1,,126.9158085,37.4519063,40
691,,1.15451E+24,,서울특별시 금천구 금하로 691,153841,8573,,1,,126.9070716,37.45192494,41
691,,1.15451E+24,,서울특별시 금천구 금하로 691,153841,8573,,1,,126.9070716,37.45192494,55
9,,1.15451E+24,,서울특별시 금천구 독산로11길 9,153858,8630,,1,,126.9053648,37.45193617,57
12,,1.15451E+24,,서울특별시 금천구 시흥대로52길 12,153858,8629,,1,,126.9026861,37.45193836,51
7,,1.15451E+24,,서울특별시 금천구 독산로11길 7,153858,8630,,1,,126.9054777,37.45194623,49
7,,1.15451E+24,,서울특별시 금천구 독산로11길 7,153858,8630,,1,,126.9054777,37.45194623,95
24,,1.15451E+24,,서울특별시 금천구 독산로11길 24,153858,8629,,,,126.9046526,37.4519476,57
33,,1.15451E+24,,서울특별시 금천구 금하로14길 33,153858,8629,,1,,126.9041891,37.45195231,40
33,,1.15451E+24,,서울특별시 금천구 금하로14길 33,153858,8629,,1,,126.9041891,37.45195231,25
54,,1.15451E+24,,서울특별시 금천구 독산로 54,153859,8642,,1,,126.9062009,37.45195293,28
54,,1.15451E+24,,서울특별시 금천구 독산로 54,153859,8642,,2,,126.9062009,37.45195293,94
54,,1.15451E+24,,서울특별시 금천구 독산로 54,153859,8642,,2,,126.9062009,37.45195293,15
54,,1.15451E+24,,서울특별시 금천구 독산로 54,153859,8642,,지,,126.9062009,37.45195293,3
54,,1.15451E+24,,서울특별시 금천구 독산로 54,153859,8642,,1,,126.9062009,37.45195293,15
48,,1.15451E+24,,서울특별시 금천구 탑골로 48,153842,8656,,,,126.9145532,37.45195785,16
202,,1.15451E+24,대의빌딩,서울특별시 금천구 시흥대로 202,153701,8629,,,,126.9020981,37.45195993,74
202,,1.15451E+24,대의빌딩,서울특별시 금천구 시흥대로 202,153701,8629,,,,126.9020981,37.45195993,69
202,,1.15451E+24,대의빌딩,서울특별시 금천구 시흥대로 202,153701,8629,,,,126.9020981,37.45195993,29
15,,1.15451E+24,은연빌라트,서울특별시 금천구 금하로23길 15,153841,8573,,1,,126.9085064,37.45196523,21
15,,1.15451E+24,은연빌라트,서울특별시 금천구 금하로23길 15,153841,8573,,,,126.9085064,37.45196523,61
34,,1.15451E+24,,서울특별시 금천구 금하로14길 34,153858,8629,,1,,126.9039854,37.45196844,20
53,,1.15451E+24,,서울특별시 금천구 독산로 53,153858,8630,,1,,126.905816,37.45199442,22
53,,1.15451E+24,,서울특별시 금천구 독산로 53,153858,8630,,2,,126.905816,37.45199442,29
9,20,1.16501E+24,내곡중학교,서울특별시 서초구 청계산로7길 9-20,137180,6799,,2,,127.0544299,37.45199743,63
20,,1.15451E+24,리버스,서울특별시 금천구 독산로11길 20,153858,8629,,1,,126.9048213,37.45200322,66
1,,1.15451E+24,,서울특별시 금천구 금하로1길 1,153833,8600,,,,126.8924905,37.45200544,75
74,,1.16501E+24,서울추모공원,서울특별시 서초구 양재대로12길 74,137132,6805,,,,127.0427995,37.45202094,23
20,,1.15451E+24,건우,서울특별시 금천구 금하로23길 20,153841,8574,,,,126.9088332,37.45203132,7
20,,1.15451E+24,건우,서울특별시 금천구 금하로23길 20,153841,8574,,1,,126.9088332,37.45203132,19
20,,1.15451E+24,건우,서울특별시 금천구 금하로23길 20,153841,8574,,1,,126.9088332,37.45203132,45
