id,group_id,latitude,longitude,num_of_company,num_of_large,num_of_bus_stop,num_of_hospital,num_of_theather,num_of_camp,num_of_school,nearest_subway_name,nearest_subway_distance,num_of_subway,num_of_gvn_office,parks_within_500m,parking_lots_within_500m,industry_category,avg_sales_level
1529,4324,35.816049,128.731959,146,1,12,5,0,0,4,정평,2022.215862972797,0,1,0,4,서비스,2.5
900,4325,35.815741,128.731397,147,1,12,5,0,0,4,정평,2049.2535392482296,0,1,0,3,소매업,3.91
463,4325,35.815425,128.731124,149,1,12,3,0,0,4,정평,2081.268722804419,0,1,0,3,소매업,3.72
1529,4325,35.816049,128.731959,146,1,12,5,0,0,4,정평,2022.215862972797,0,1,0,4,소매업,3.83
900,4326,35.815741,128.731397,147,1,12,5,0,0,4,정평,2049.2535392482296,0,1,0,3,도매업,4.0
463,4326,35.815425,128.731124,149,1,12,3,0,0,4,정평,2081.268722804419,0,1,0,3,도매업,4.29
1529,4326,35.816049,128.731959,146,1,12,5,0,0,4,정평,2022.215862972797,0,1,0,4,도매업,4.36
900,4327,35.815741,128.731397,147,1,12,5,0,0,4,정평,2049.2535392482296,0,1,0,3,교육,1.5
463,4327,35.815425,128.731124,149,1,12,3,0,0,4,정평,2081.268722804419,0,1,0,3,교육,1.5
1529,4327,35.816049,128.731959,146,1,12,5,0,0,4,정평,2022.215862972797,0,1,0,4,교육,1.5
900,4328,35.815741,128.731397,147,1,12,5,0,0,4,정평,2049.2535392482296,0,1,0,3,유흥주점,2.0
463,4328,35.815425,128.731124,149,1,12,3,0,0,4,정평,2081.268722804419,0,1,0,3,유흥주점,2.0
1529,4328,35.816049,128.731959,146,1,12,5,0,0,4,정평,2022.215862972797,0,1,0,4,유흥주점,2.0
900,4329,35.815741,128.731397,147,1,12,5,0,0,4,정평,2049.2535392482296,0,1,0,3,의료,4.5
463,4329,35.815425,128.731124,149,1,12,3,0,0,4,정평,2081.268722804419,0,1,0,3,의료,4.5
1529,4329,35.816049,128.731959,146,1,12,5,0,0,4,정평,2022.215862972797,0,1,0,4,의료,4.6
11,4330,35.825668,128.713158,77,0,11,0,0,0,0,사월,1274.307317046446,0,0,1,4,음식점,3.57
42,4330,35.826041,128.71265,76,0,11,0,0,0,0,사월,1242.6847931385555,0,0,1,4,음식점,3.57
34,4330,35.824179,128.715111,79,0,10,0,0,0,1,사월,1420.665244581239,0,1,0,3,음식점,2.75
11,4331,35.825668,128.713158,77,0,11,0,0,0,0,사월,1274.307317046446,0,0,1,4,미용,1.0
42,4331,35.826041,128.71265,76,0,11,0,0,0,0,사월,1242.6847931385555,0,0,1,4,미용,1.0
34,4331,35.824179,128.715111,79,0,10,0,0,0,1,사월,1420.665244581239,0,1,0,3,미용,1.0
11,4332,35.825668,128.713158,77,0,11,0,0,0,0,사월,1274.307317046446,0,0,1,4,소매업,6.58
42,4332,35.826041,128.71265,76,0,11,0,0,0,0,사월,1242.6847931385555,0,0,1,4,소매업,6.58
34,4332,35.824179,128.715111,79,0,10,0,0,0,1,사월,1420.665244581239,0,1,0,3,소매업,5.56
11,4333,35.825668,128.713158,77,0,11,0,0,0,0,사월,1274.307317046446,0,0,1,4,의료,4.0
42,4333,35.826041,128.71265,76,0,11,0,0,0,0,사월,1242.6847931385555,0,0,1,4,의료,4.0
34,4333,35.824179,128.715111,79,0,10,0,0,0,1,사월,1420.665244581239,0,1,0,3,의료,4.0
1153,4334,35.829297,128.731053,125,2,8,9,1,0,2,정평,572.7730462813877,0,3,5,5,음식점,2.92
1260,4334,35.829916,128.731114,125,2,11,8,1,0,2,정평,512.2480293995511,0,2,5,5,음식점,2.85
1412,4334,35.828948,128.730829,125,2,8,9,1,0,2,정평,601.8672560252552,0,3,5,5,음식점,2.85
1153,4335,35.829297,128.731053,125,2,8,9,1,0,2,정평,572.7730462813877,0,3,5,5,미용,1.0
1260,4335,35.829916,128.731114,125,2,11,8,1,0,2,정평,512.2480293995511,0,2,5,5,미용,1.0
1412,4335,35.828948,128.730829,125,2,8,9,1,0,2,정평,601.8672560252552,0,3,5,5,미용,1.0
1153,4336,35.829297,128.731053,125,2,8,9,1,0,2,정평,572.7730462813877,0,3,5,5,서비스,2.33
1260,4336,35.829916,128.731114,125,2,11,8,1,0,2,정평,512.2480293995511,0,2,5,5,서비스,1.67
1412,4336,35.828948,128.730829,125,2,8,9,1,0,2,정평,601.8672560252552,0,3,5,5,서비스,2.33
1153,4337,35.829297,128.731053,125,2,8,9,1,0,2,정평,572.7730462813877,0,3,5,5,소매업,3.32
1260,4337,35.829916,128.731114,125,2,11,8,1,0,2,정평,512.2480293995511,0,2,5,5,소매업,3.86
